color,x,y
cat,-4.659708832747441,-2.7885458068645077
cat,-1.3090344649726233,-3.634070764707297
cat,-3.3370538337552214,-3.6043469102987475
cat,-5.554039576599333,-2.0842762564737893
cat,-3.0272919208475817,-3.365402503627271
cat,-4.8992511380331045,-0.847337475169805
cat,-5.771632031667757,-3.7259929422369247
cat,-3.0274612940528423,-3.7930804314720827
cat,-1.337346348300502,-5.287493361726451
cat,-0.18779552215041168,-0.4516439521681879
cat,-0.9982068223412466,-5.780558696265584
cat,-1.5899665820540954,-4.176249447408361
cat,-5.649454874561584,-2.421364808041546
cat,-2.3380134180698984,-2.172953667617543
cat,-1.248691117471583,-3.7278265453210184
cat,0.459627571933132,-5.186766214884199
cat,-2.0100152320638,-1.2800580716436853
cat,-1.8074838249924239,-6.572982342773986
cat,-0.898930260939727,-2.0743849987049163
cat,-3.5492419836774496,-0.08572734219701811
cat,-1.398024160858913,-4.4238869358161645
cat,-1.6566244853036465,-5.03613210918202
cat,-4.28107908679477,-3.4637090349617194
cat,0.006233337639614181,-0.782873933632798
cat,-5.102022915167443,-0.2155941983922491
cat,-3.3046604418852734,-3.475094411208769
cat,-2.0595637268792255,0.5393419034116129
cat,-1.825512947659774,-4.956470811928828
cat,-2.385006530695615,-5.381837293349213
cat,-3.000631996648046,-2.3634970077020547
cat,-0.15273658226421152,-0.6476565935092495
cat,1.296665272723005,-4.556155896489534
cat,-0.5816136451370146,-2.2117171408095784
cat,-4.325569329349055,-3.305395441072442
cat,-1.9522747767843096,-4.98426593018226
cat,-5.036595622595831,-0.3202141416757915
cat,-5.333829946787905,-1.5710970888798037
cat,-1.391333145746834,-5.076912644992009
cat,-2.4682876991639295,-3.034475667169861
cat,0.105919408412757,-0.8264891867089174
cat,-1.5219866607068406,-5.037268114600527
cat,-1.098437984855825,-1.798228857903774
cat,-0.9754812975185179,-4.945240430023681
cat,0.2278550789711971,-3.399520575242796
cat,-3.0352745968929087,-0.2799259039223476
cat,-3.420095976492153,-0.39791773479701736
cat,-1.8607837901979627,-2.625909134356774
cat,-2.67618861893981,-1.2827232842715115
cat,0.40539131830753,-3.4292307156385102
cat,-1.9436109129692578,-6.440867163698685
cat,-3.749543711755526,-4.956612871848793
cat,-0.5371405019777308,-6.071640441047238
cat,-2.7420560799330693,-0.5994526229799765
cat,-1.1503469715601282,-5.25039562787607
cat,-4.667121388325151,-2.2105277795627134
cat,-6.077061120597105,-0.2977860400128237
cat,-6.274236379023591,-1.8070069107979838
cat,1.533423893336242,-5.339906209715022
cat,-4.374768594108302,-0.08471221677585344
cat,-2.8898933915474774,-4.841755949613416
cat,-1.0694225874469818,-5.506668070453754
cat,-5.15079415161652,-0.5710720527947595
cat,-2.785055650179859,-4.839660720836528
cat,0.5361149054182404,-5.172773877329981
cat,-5.580974889980807,-3.8178237063115055
cat,0.9536031750747794,-4.289905844711651
cat,0.0010560979226432866,-5.720545711358929
cat,-4.607319700480321,-1.3042535975025595
cat,-3.607864230905631,-2.08255943869213
cat,-0.6740962910636829,-5.111623227534314
cat,-3.8076679530542483,-2.9778034783064293
cat,-3.1830952760101865,-2.708990475717182
cat,-5.300636326969721,0.46500292738566523
cat,-4.780823768457341,-2.215908763942771
cat,-0.8141622853711906,-1.997089200867032
cat,-3.9917870057315152,-0.8883475795711533
cat,-4.836094246440625,-1.0176878633815116
cat,-2.7050845190871295,-2.0682660845002916
cat,-5.462498356229076,-2.866201977808286
cat,-3.907617492714415,-1.806579784912063
cat,-2.4373690329447566,0.47538435337537666
cat,-5.574226278666991,-3.0314262607934297
cat,-4.578460940754605,-3.008450679918394
cat,0.10542325036267397,-0.9193411007680697
cat,1.371087567813381,-3.3790619000154947
cat,-3.157469888244747,-2.3042913325909877
cat,-3.750228904309441,-5.016588808322055
cat,-2.8643184858379658,-1.9381979306849524
cat,-1.0431222466325758,-2.586090475929093
cat,-3.661606549602484,-1.1617189930152791
cat,-3.1450506608410156,-1.272429101424701
cat,-0.8145241458196791,-5.642770633761508
cat,-0.9956288401351768,-1.9041057195343343
cat,1.0566131675871233,-4.207433510564796
cat,-3.709493040880195,-3.6630868629579636
cat,0.38487905454131827,-5.845417360302484
cat,-0.74879350664827,-2.8842349513602725
